"Tweet Id","Tweet URL","Media Id","Media URL","Tweet Posted Time (UTC)","Tweet Content","Tweet Type",Client,"Retweets Received","Favourites Received","User Id",Name,"Screen Name","Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1119865038951669761""",https://twitter.com/drishratulebad/status/1119865038951669761,"""1119865036091031553""",https://pbs.twimg.com/media/D4qPUSiWAAE-jpb.jpg,"21 Apr 2019 07:26:46","Strongly condemn terrorist attacks targetting churches and hotels in Sri Lanka that claimed more than 100 lives on the occasion of #Easter.

People of Pakistan stand by #SriLanka at this moment of tragedy. 

My thoughts are with the bereaved families and prayers with the injured. https://t.co/67CofXkbFo",Tweet,"Twitter for Android",3,19,"""450276726""","Dr Ishrat Ul Ebad",drishratulebad,Non-Verified,https://twitter.com/drishratulebad,Non-Protected
"""1119865039891120128""",https://twitter.com/RebeccaRambar/status/1119865039891120128,"""1119864848370819072""",https://pbs.twimg.com/media/D4qPJXOW4AA052i.jpg,"21 Apr 2019 07:26:46","#SriLanka Au moins 9 étrangers sont morts dans les attentats selon un officier de police
De nombreux étrangers de multiples nationalités ont également été admis à l'hôpital parmi les blessés
#Colombo #SriLankaBlast #terrorism #Easter #paques2019 https://t.co/RDvpaSUiKY",Reply,TweetDeck,0,0,"""861614085275865088""","Rebecca Rambar",RebeccaRambar,Non-Verified,https://twitter.com/RebeccaRambar,Non-Protected
"""1119864825486749696""",https://twitter.com/scroll_in/status/1119864825486749696,"""1119864809049198593""",https://pbs.twimg.com/media/D4qPHEvWkAEaMhf.jpg,"21 Apr 2019 07:25:55","#SriLanka: At least 137 killed after explosions at two churches on #Easter in #Colombo https://t.co/tYSz92nRhE https://t.co/ZD30kXPpOf",Reply,"Twitter Web Client",1,1,"""414946220""",Scroll.in,scroll_in,Verified,https://twitter.com/scroll_in,Non-Protected
"""1119864764484788225""",https://twitter.com/salmanzit/status/1119864764484788225,"""1119864732448624640""",https://pbs.twimg.com/media/D4qPCnYWkAAHMOU.jpg,"21 Apr 2019 07:25:40","#BreakingNews: Bombing attacks By Indian Spy Agency #RAW at 3 churches and three hotels in #SriLanka on #Easter 
St. Anthony's #Church, #Kochchikade
St.Sebastian's Church, Katuwapitiya
Church in #Batticaloa  
#Kingsbury hotel
Shangri La hotel
#Cinnamon
Grand Hotel
#SrilankaBlast https://t.co/Gi9AHGUQxp",Tweet,"Twitter for Android",2,5,"""203488848""","Salman Mansoor",salmanzit,Non-Verified,https://twitter.com/salmanzit,Non-Protected
"""1119864764484788225""",https://twitter.com/salmanzit/status/1119864764484788225,"""1119864751570456576""",https://pbs.twimg.com/media/D4qPDunWkAADvp3.jpg,"21 Apr 2019 07:25:40","#BreakingNews: Bombing attacks By Indian Spy Agency #RAW at 3 churches and three hotels in #SriLanka on #Easter 
St. Anthony's #Church, #Kochchikade
St.Sebastian's Church, Katuwapitiya
Church in #Batticaloa  
#Kingsbury hotel
Shangri La hotel
#Cinnamon
Grand Hotel
#SrilankaBlast https://t.co/Gi9AHGUQxp",Tweet,"Twitter for Android",2,5,"""203488848""","Salman Mansoor",salmanzit,Non-Verified,https://twitter.com/salmanzit,Non-Protected
"""1119864697761746945""",https://twitter.com/Trendolizer/status/1119864697761746945,"""1119864696696397825""",https://pbs.twimg.com/media/D4qPAiMW4AE62sA.jpg,"21 Apr 2019 07:25:24","#SriLanka churches attacked during #Easter services #EasterservicesSriLankasecurityofficial https://t.co/eyA1CFbU4G https://t.co/bYF7CfytrE",Tweet,"Lead Stories Feed Publisher",0,0,"""581648203""",Trendolizer,Trendolizer,Non-Verified,https://twitter.com/Trendolizer,Non-Protected
"""1119864669714505729""",https://twitter.com/mangloora1/status/1119864669714505729,"""1119864618703310848""",https://pbs.twimg.com/media/D4qO7_pW0AAUhZG.jpg,"21 Apr 2019 07:25:17","Sad news on #Easter.. Stand with SriLankan citizen on hard and tragic times. Terrorism shud be condemnable. Who ever does it and wherever in any part of the world
#Colomb #Srilanka https://t.co/CPOKRqANJq",Tweet,"Twitter Web Client",1,8,"""3351236289""",Naazkhatoon,mangloora1,Non-Verified,https://twitter.com/mangloora1,Non-Protected
"""1119864669714505729""",https://twitter.com/mangloora1/status/1119864669714505729,"""1119864639930740736""",https://pbs.twimg.com/media/D4qO9OuXsAAZogt.jpg,"21 Apr 2019 07:25:17","Sad news on #Easter.. Stand with SriLankan citizen on hard and tragic times. Terrorism shud be condemnable. Who ever does it and wherever in any part of the world
#Colomb #Srilanka https://t.co/CPOKRqANJq",Tweet,"Twitter Web Client",1,8,"""3351236289""",Naazkhatoon,mangloora1,Non-Verified,https://twitter.com/mangloora1,Non-Protected
"""1119864432874541057""",https://twitter.com/krishanlal_kd/status/1119864432874541057,"""1119864424422973441""",https://pbs.twimg.com/media/D4qOwr5UIAErQxx.jpg,"21 Apr 2019 07:24:21","जिस को लोग भगवान का घर मानते थे आज  #SriLanka में #Easter के दिन ही ब्लास्ट हो गया और करीब 200 लोग मौत के घाट उतर गए अगर यही सत्यज्ञान के साथ सत्संग होता तो शायद पूर्ण परमात्मा बचा सकते थे। https://t.co/AwXqcF9bvi",Tweet,"Twitter for Android",14,17,"""964163145219563523""","Kd SriGanganagar",krishanlal_kd,Non-Verified,https://twitter.com/krishanlal_kd,Non-Protected
"""1119863939200954368""",https://twitter.com/Gaurav_sitapuri/status/1119863939200954368,"""1119863924713820160""",https://pbs.twimg.com/media/D4qOTmVXkAA1sDr.jpg,"21 Apr 2019 07:22:23","Sri Lanka explosions: 137 killed as churches and hotels targeted. We #Indians are with our neighbour country in this difficult time .
#EasterSunday #Easter #SriLanka #SrilankaBlast https://t.co/imRunj4MDF",Tweet,"Twitter for Android",0,2,"""1107275402068807680""","Gaurav Indian 🇮🇳",Gaurav_sitapuri,Non-Verified,https://twitter.com/Gaurav_sitapuri,Non-Protected
